구분,담당,Method,Path,요약,요청,성공 응답,기타 상태,정렬·제약,호환·경계
확장,A,GET,/dataset/bounds,데이터 epoch·필터 범위,없음,DatasetBoundsResponse,503,안정 정렬,최소 9개 이후
확장,A,GET,/dashboard/summary,서버 대시보드 집계,"query: date_from,date_to,area 필수",DashboardSummaryResponse,"422,503",동일 필터 기준,최소 GET /alarms 클라이언트 집계를 대체하지 않음
확장,A,GET,/alarms/{source}/{alarm_id},source-aware 알람 상세,path: source+alarm_id,AlarmDetailResponse,"404,422,503",단건,"source 필수"
확장,A,GET,/alarms/paged,페이지 알람 목록,"query: page>=1,size=1..100 + 필터",PageEnvelope<AlarmItem>,"422,503","필수 목록과 같은 정렬","/alarms와 응답 shape 혼용 금지"
확장,A,GET,/traces/catalog,Trace 선택 목록,query filters,TraceCatalogResponse,"422,503",안정 정렬,최소 9개 이후
확장,A,POST,/traces/search,복합 Trace 검색,body filters,TraceSearchResponse,"422,503",시간순,최소 9개 이후
확장,B,GET,/relations/equipment/{equipment_id},설비 관계,path: equipment_id,EquipmentRelationsResponse,"404,422,503",stable relation_id,"고정 설비 상하류 추정 금지"
확장,B,GET,/documents/{document_id},문서 상세,path: document_id,DocumentDetailResponse,"404,422,503",chunk order,"chunk order 안정"
실행필수,C,POST,/agent/runs,Agent 분석 시작,"body: alarm={source,alarm_id}",202 AgentRunAccepted,"404,409,422,503",멱등성,"Alarm 화면 source-aware trigger; legacy /agent/run과 alarm_id 단독 금지; accepted status는 RUNNING이며 body는 agent_run_id+status+alarm 3개"
확장,C,GET,/agent/runs/{run_id},Agent 실행 상세,path: run_id,AgentRunDetailResponse,"404,422,503",단건,"근거 ID provenance; diagnosis·evidence_assessment·impact_scope·similar_incidents·post_action_observation 5블록 필수, 구버전은 명시적 Empty"
팀필수,C,GET,/agent/evaluations,Agent 합성 Fault 평가·Golden flow 7단 요약 조회,없음,AgentEvaluationResponse,,read-only immutable artifact projection,"두 artifact는 독립 Empty 상태; aggregate allowlist만 공개; raw label·hash·경로 비노출"
확장,C,POST,/agent/runs/{run_id}/retry,실패 실행 재시도,path: run_id,202 AgentRunAccepted,"404,409,422,503",재시도 정책,성공·실행중 재시도 거부
확장,C,GET,/agent/runs/paged,페이지 실행 이력,"query: page,size,filters",PageEnvelope<AgentRunItem>,"422,503","created_at DESC; agent_run_id DESC","/agent/runs와 shape 혼용 금지"
확장,C,GET,/approvals/paged,페이지 승인 이력,"query: page,size,filters",PageEnvelope<ApprovalItem>,"422,503","created_at DESC; approval_id DESC","/approvals와 shape 혼용 금지"
확장,C,GET,/actions,action 목록,query filters,ActionItem[],"422,503",created_at DESC,delivery summary 포함
확장,C,GET,/actions/{action_id},action·delivery 상세,path: action_id,ActionDetailResponse,"404,422,503",단건,channel별 상태
확장,C,POST,/actions/{action_id}/deliveries/{channel}/retry,실패 channel 재전송,"path: action_id; channel=EMAIL|MES",PublicDeliveryResult,"404,409,422,503",멱등성,"DeliveryResult와 같은 field; public MES는 내부 MES_MOCK의 projection"
내부,C,POST,/internal/actions/{action_id}/delivery,delivery 상태 write-back,"HMAC timestamp/signature; body: event_id,channel=EMAIL|MES_MOCK,status=SENT|FAILED,provider_message_id,request_hash,completed_at,error_code",DeliveryResult,"401,404,409,422,503",action+channel+request_hash 멱등,n8n·Kafka worker 전용; replay window 300초
팀필수,D,POST,/analytics/query,자연어 Text2SQL,"body: question 1..1000",AnalysisQueryResponse,"422,503","read-only SELECT; row limit","7화면 release 필수; 정책 거부는 200+is_rejected=true; 합성 GT 제외"
확장,D,POST,/analytics/graph-query,자연어 Graph 질의,"body: question 1..1000",GraphQueryResponse,422,"validated read-only Cypher; row limit","backend 전용 plan·validator 경로; 사용자 Cypher passthrough 없음"
팀필수,D,POST,/analytics/validate,SQL 실행 없는 검증,body: sql 1..20000,SqlValidateResponse,422,12단계 검증,실행 없음
팀필수,D,GET,/analytics/history,질의 이력·재실행 원본,"query: page,size,filters",NlQueryHistoryResponse,422,"asked_at DESC; nl_query_log_id DESC",읽기 전용
팀필수,D,GET,/analytics/evaluations,Text2SQL 평가 이력,"query: latest,page,size",EvaluationListResponse,422,"executed_at DESC; run_id DESC",immutable 평가 artifact read-only projection
팀필수,D,GET,/audit-logs/paged,전역 페이지 감사 조회,"query: page,size,filters",AuditLogPageResponse,"422,503","occurred_at DESC; audit_id DESC","Agent 상세 감사와 구분; event count는 동일 전체 filter 기준"
운영,Common,GET,/health,process liveness,없음,HealthResponse,500,업무 API 수 제외,외부 의존성 미검사
운영,Common,GET,/health/ready,통합 readiness,없음,ReadinessResponse,503,업무 API 수 제외,"PostgreSQL Runtime epoch·schema·권한; reference migration marker; Neo4j 44/85 marker·fingerprint; RAG 3 IDs·source/corrected hash·chunk·NULL embedding 0·dimension 1024·search smoke; n8n; Kafka topics; 실패도 같은 DTO+NOT_READY"
